,Onshore_Offshore,Map_Sheet_Division,Map_Sheet,Block_Number,Province_Code,Province_Name,Municipality_ID,Municipality_Name,Postal_Code,Mining_Work_Code,Mining_Work_Name,Provided_X,Provided_Y,Coordinate_System,X_Rijksdriehoek,Y_Rijksdriehoek,X_TM5_ED50,Y_TM5_ED50,X_UTM31_ED50,Y_UTM31_ED50,Longitude_ED50,Latitude_ED50,X_UTM31_WGS84,Y_UTM31_WGS84,Longitude_WGS84,Latitude_WGS84,Start_Date,End_Date,Wellbore_Sidetrack,NITG_Number,UWI,Wellbore_Code,Wellbore_Name,Wellbore_Objective_Code,Wellbore_Objective,Wellbore_Result_Code,Wellbore_Result,Wellbore_Status,Wellbore_Shape,Kickoff_Depth_AH,Wellbore_Depth_AH,Wellbore_Depth_TVD,X_Deviation_UTM31_ED50,X_End_UTM31_ED50,Y_Deviation_UTM31_ED50,Y_End_UTM31_ED50,Reference_Level,Reference_Level_Height,Relative_To,Wellbore_Depth_AH_Relative_To_NAP_MSL,Wellbore_Depth_TVD_Relative_To_NAP_MSL,Current_Owner,Client,Drilling_Tower_Platform,Drilling_Company,Lithostratigraphy_Code,Chronostratigraphy_Code,Well_Name,Field_Code,Field_Name,Public_Access_From
186,ON,Topografische kaart 1:25.000,02D,,,,,,,AWG-1W,Ameland-Westgat-1W,191720.58,611896.47,RD,191721,611896,562480,5927620,695150,5931235,5.94172715,53.49269436,695059,5931024,5.9404444,53.49196042,15-10-2007,07-12-2007,STR,B02D0163,5462,AWG-101-S4,AMELAND WESTGAT-101-SIDETRACK4,DEV-HC,Ontwikkeling koolwaterstof,GAS,Gas,Producing/Injecting,Horizontaal,4750.0,5699.0,3400.92,-3394.31,691756.0,1754.04,5932989.0,Rotary Table,52.58,MSL,5646.42,3348.24,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Monarch,GlobalSantaFe International Drilling Corporation,ROSLU,,AMELAND WESTGAT-101,AWG,Ameland-Westgat,2012-12-07
187,ON,Topografische kaart 1:25.000,02D,,,,,,,AWG-1W,Ameland-Westgat-1W,191720.3,611900.8,RD,191720,611901,562480,5927624,695150,5931240,5.94172343,53.49273328,695059,5931028,5.94044068,53.49199934,13-02-1984,21-05-1984,BRH,B02D0055,2456,AWG-102,AMELAND WESTGAT-102,EVA-HC,Evaluatie koolwaterstof,GAS,Gas,Producing/Injecting,Gedevieerd,,4385.0,3581.79,-960.46,694190.0,-2123.14,5929117.0,Rotary Table,31.05,MSL,4353.95,3550.64,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Transocean I,Transocean Drilling Ltd.,DC,,AMELAND WESTGAT-102,AME,Ameland-Oost,2003-01-01
188,ON,Topografische kaart 1:25.000,02D,,,,,,,,,191724.8,611900.5,RD,191725,611901,562484,5927624,695154,5931240,5.94179119,53.49273028,695063,5931028,5.94050844,53.49199633,22-05-1984,26-05-1984,BRH,B02D0051,2472,AWG-103,AMELAND WESTGAT-103,DEV-HC,Ontwikkeling koolwaterstof,FLR,Technisch mislukt,Suspended,Gedevieerd,,653.0,637.77,57.86,695212.0,-60.96,5931179.0,Rotary Table,31.2,MSL,621.8,606.47,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Transocean I,Transocean Drilling Ltd.,N,,,,,2003-01-01
189,ON,Topografische kaart 1:25.000,02D,,,,,,,,,191724.8,611900.5,RD,191725,611901,562484,5927624,695154,5931240,5.94179119,53.49273028,695063,5931028,5.94050844,53.49199633,26-05-1984,07-06-1984,STR,B02D0091,5022,AWG-103-S1,AMELAND WESTGAT-103-SIDETRACK1,DEV-HC,Ontwikkeling koolwaterstof,FLR,Technisch mislukt,Suspended,Gedevieerd,517.0,1360.0,1228.8,273.55,695428.0,-378.43,5930862.0,Rotary Table,31.2,MSL,1328.8,1197.5,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Transocean I,Transocean Drilling Ltd.,CKGR,,,,,2003-01-01
190,ON,Topografische kaart 1:25.000,02D,,,,,,,,,191724.8,611900.5,RD,191725,611901,562484,5927624,695154,5931240,5.94179119,53.49273028,695063,5931028,5.94050844,53.49199633,07-06-1984,25-09-1984,STR,B02D0093,5024,AWG-103-S2,AMELAND WESTGAT-103-SIDETRACK2,DEV-HC,Ontwikkeling koolwaterstof,GAS,Gas,Suspended,Gedevieerd,552.0,4003.0,3504.04,879.39,696033.0,-1525.49,5929715.0,Rotary Table,31.2,MSL,3971.8,3472.74,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Transocean I,Transocean Drilling Ltd.,ROCLA,,,,,2003-01-01
191,ON,Topografische kaart 1:25.000,02D,,,,,,,AWG-1W,Ameland-Westgat-1W,191719.7,611899.9,RD,191720,611900,562479,5927623,695149,5931239,5.94171429,53.49272524,695058,5931027,5.94043154,53.49199129,16-10-1984,13-11-1984,BRH,B02D0046,2494,AWG-104,AMELAND WESTGAT-104,DEV-HC,Ontwikkeling koolwaterstof,FLR,Technisch mislukt,Plugged back and sidetracked,Vertikaal,,305.0,304.92,-6.98,695142.0,0.09,5931239.0,Rotary Table,31.2,NAP,273.8,273.72,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Transocean I,Transocean Drilling Ltd.,N,,AMELAND WESTGAT-104,AME,Ameland-Oost,2003-01-01
192,ON,Topografische kaart 1:25.000,02D,,,,,,,AWG-1W,Ameland-Westgat-1W,191719.7,611899.9,RD,191720,611900,562479,5927623,695149,5931239,5.94171429,53.49272524,695058,5931027,5.94043154,53.49199129,13-11-1984,03-12-1984,STR,B02D0092,5023,AWG-104-S1,AMELAND WESTGAT-104-SIDETRACK1,DEV-HC,Ontwikkeling koolwaterstof,FLR,Technisch mislukt,Plugged back and sidetracked,Gedevieerd,193.0,1391.0,1231.55,-350.81,694798.0,-369.7,5930869.0,Rotary Table,31.2,NAP,1359.8,1200.35,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Transocean I,Transocean Drilling Ltd.,CKGR,,AMELAND WESTGAT-104,AME,Ameland-Oost,2003-01-01
193,ON,Topografische kaart 1:25.000,02D,,,,,,,AWG-1W,Ameland-Westgat-1W,191719.7,611899.9,RD,191720,611900,562479,5927623,695149,5931239,5.94171429,53.49272524,695058,5931027,5.94043154,53.49199129,06-12-1984,02-04-1985,STR,B02D0094,5025,AWG-104-S2,AMELAND WESTGAT-104-SIDETRACK2,DEV-HC,Ontwikkeling koolwaterstof,GAS,Gas,Producing/Injecting,Gedevieerd,334.0,4356.0,3466.14,-1763.19,693386.0,-1616.38,5929623.0,Rotary Table,31.2,NAP,4324.8,3434.94,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Transocean I,Transocean Drilling Ltd.,ROCLA,,AMELAND WESTGAT-104,AME,Ameland-Oost,2003-01-01
194,ON,Topografische kaart 1:25.000,02D,,,,,,,AWG-1W,Ameland-Westgat-1W,191722.8,611899.3,RD,191723,611899,562482,5927623,695152,5931238,5.94176092,53.49271963,695061,5931027,5.94047817,53.49198569,30-05-1985,30-09-1986,BRH,B02D0045,2553,AWG-105,AMELAND WESTGAT-105,DEV-HC,Ontwikkeling koolwaterstof,GAS,Gas,Producing/Injecting,Gedevieerd,,3981.0,3484.94,-550.55,694601.0,-1577.65,5929660.0,Rotary Table,35.96,NAP,3945.04,3448.98,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Transocean I / IV,Transocean Drilling Ltd.,ROCLA,,AMELAND WESTGAT-105,AME,Ameland-Oost,2003-01-01
195,ON,Topografische kaart 1:25.000,02D,,,,,,,AWG-1W,Ameland-Westgat-1W,191721.98,611902.88,RD,191722,611903,562481,5927626,695151,5931242,5.94174898,53.49275185,695060,5931030,5.94046623,53.49201791,25-01-1990,01-07-1990,BRH,B02D0048,3735,AWG-106,AMELAND WESTGAT-106,EVA-HC,Evaluatie koolwaterstof,GAS,Gas,Plugged back and sidetracked,Gedevieerd,,4283.0,3529.55,1064.4,696215.0,-1887.27,5929355.0,Rotary Table,40.0,MSL,4243.0,3489.45,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Neddrill IV,Neddrill Nederland B.V.,ROCLA,,AMELAND WESTGAT-106,AME,Ameland-Oost,2003-01-01
