User_id,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,RFM_Score,Customer_Segment
AEHQERYQKTKY5OMTF5KOWEIVCSQA,1256,1,2499.0,1051.5,668.5,335.5,2055.5,High
AEHQQTEDMSXRGSBDDEIH3JF4AOMQ,877,1,8999.0,721.5,668.5,141.0,1531.0,Medium
AEHQYGI5L4FFALBMC5XMT5KXSZCA,758,1,299.0,601.5,668.5,913.5,2183.5,VIP
AEHU6ETDR7HVQOGLKITDETHZEO7A,729,1,229.0,571.5,668.5,976.5,2216.5,VIP
AEHVZHMJQYG456XUPYSWK7PWAJAA,288,1,16499.0,68.5,668.5,71.5,808.5,Low
AEI36WUCG27UYFAGDF7HX74VEGIA,288,1,599.0,68.5,668.5,738.5,1475.5,Medium
AEI5OOS434KUVK3SPKYEZMBJUB5A,956,1,263.0,806.5,668.5,945.0,2420.0,VIP
AEI7HJU4RFV6NR5WSRDQV5ZSRYSA,326,1,176.63,104.0,668.5,1037.5,1810.0,High
AEIDO6I6DOUJAKJX6VR6C2PC6ETQ,775,2,3186.0,623.0,162.0,279.0,1064.0,Low
AEIFMHDK4ETHLYWSV6TUFNSJU4MQ,1194,1,575.0,996.5,668.5,753.0,2418.0,VIP
AEII2B5GAPQWGZCTI2PIMOEFJMRA,603,1,1695.0,414.0,668.5,443.0,1525.5,Medium
AEIMBDWSM42YEDEE6476WUXFZJHQ,1253,1,599.0,1046.5,668.5,738.5,2453.5,VIP
AEITVIFC7WZAEQDIVWPB4KUGKLRQ,740,1,970.0,584.0,668.5,616.0,1868.5,High
AEJG6XAZFMVQ7NRKCXG3ZCC3DIVA,1258,1,799.0,1053.5,668.5,659.0,2381.0,VIP
AEJGEJAGW7MDJMBVY7KB7KBKIYYQ,662,1,375.0,496.0,668.5,858.0,2022.5,High
AEJNUCP6WR35MUUPR3D4P23EDVQQ,860,1,355.0,706.0,668.5,865.0,2239.5,VIP
AEJU4L3ZM2GTILSJZZSNSF6VUOIA,1253,2,1378.0,1046.5,162.0,517.5,1726.0,Medium
AEJWYKZND5DTQQYR26RKWY5FWTOQ,629,1,26999.0,444.0,668.5,39.0,1151.5,Low
AEJXPNJR72TG3IKARG3ZCXGKY3UA,1302,1,1649.0,1083.5,668.5,450.5,2202.5,VIP
AEK7TJPOW2SWCHCQOA7OEGXDZPCA,660,1,349.0,493.0,668.5,877.0,2038.5,High
AEKCUG7WMX6KMP6VFBWI3ICW5CBQ,280,2,1828.0,60.5,162.0,414.0,636.5,Low
AEKJRELVNMICYPOYTKMVF52YX2WQ,546,2,773.0,343.5,162.0,674.0,1179.5,Low
AEKKXMW4QXQMXXIHMC3AM533RJIA,802,1,1099.0,646.0,668.5,580.0,1894.5,High
AEKMVX2VDNNX4ZFXI67SGKMJGZAQ,934,1,154.0,775.0,668.5,1046.5,2490.0,VIP
AEKWBYGLEXUNRAJKVPO6HMF52W7A,657,1,329.0,487.5,668.5,895.0,2051.0,High
AEL5WI53X4OUCZBTBH5Z7SNT63YA,271,1,1499.0,51.0,668.5,477.0,1196.5,Low
AEL77P6YFP7P7EZVBDU63TUTGKMQ,652,1,1321.0,477.5,668.5,527.0,1673.0,Medium
AELBEUEZY4ZDRRUYDKANK4BUZOHQ,339,1,1889.0,121.0,668.5,408.5,1198.0,Low
AELBYFRFAGLMXQQJKVDUWO7QX2VQ,782,1,22999.0,629.5,668.5,45.0,1343.0,Medium
AELIUKITTHS3MSGTSB3B3YCAUMQQ,304,1,245.0,84.5,668.5,966.0,1719.0,Medium
AELKHQXVSSG6NHXLFJLLNEFRQQUQ,782,2,6638.0,629.5,162.0,179.0,970.5,Low
AELM6ILLTWBSXJXOKMNA2GM3DTKQ,1052,1,522.0,882.0,668.5,769.0,2319.5,VIP
AELNBR4H6235Y7NVYNCGNABDIDFQ,318,2,2348.0,98.0,162.0,351.5,611.5,Low
AELNHGVCLQTWAEFDH244JJZZSVAQ,1163,1,349.0,973.0,668.5,877.0,2518.5,VIP
AELO5I776X3QUOQZ7AEEFC565CYA,765,1,1400.0,608.0,668.5,502.0,1778.5,High
AELSOXQRZBOFSSY4HJUR4Y7ASQBA,268,2,1248.0,47.0,162.0,546.0,755.0,Low
AELX4DI77ZHURZTDLYFU7XMP7R6Q,1128,2,2448.0,934.5,162.0,344.0,1440.5,Medium
AEM2Y22BKLFYL5BK7SC56Q75ODOQ,467,1,9490.0,263.5,668.5,136.0,1068.0,Low
AEM356PVXFHAXWV56KDO75FS5WPA,681,1,1898.0,512.0,668.5,406.0,1586.5,Medium
AEMGDIDXCHHDMTAJHRNXBUWISFQQ,852,1,7998.0,696.0,668.5,159.0,1523.5,Medium
AEMJJHRL3DAOOLBWHIDSFW56MJWQ,880,1,249.0,725.5,668.5,957.5,2351.5,VIP
AEMJJNJTRB4DQ2EMQQRJ6N2SC2XA,940,1,1099.0,788.0,668.5,580.0,2036.5,High
AEMQ4TSBHCLS2GHF4C4K3CHKM6QA,1266,1,749.0,1059.5,668.5,680.0,2408.0,VIP
AEMQUDDYUEXPRJ2C64I33YVVSQXA,1295,1,4499.0,1079.0,668.5,219.5,1967.0,High
AEN7NV2P5WNHM7EXCWWWES43N3PQ,1080,1,215.0,896.5,668.5,987.0,2552.0,VIP
AENDL564LHLXLMAUI3U3D6KV5R5A,1036,1,1699.0,861.5,668.5,440.0,1970.0,High
AENFRNJLSQPJICHCPKWOMUBY6RZQ,1289,1,252.0,1077.0,668.5,949.0,2694.5,VIP
AENGU523SXMOS7JPDTW52PNNVWGQ,367,5,8476.0,159.0,8.5,153.0,320.5,Low
AENIRZYQ7D6LIUFYMTCNZ3E7ITMA,340,1,3569.0,123.0,668.5,252.0,1043.5,Low
AENNAVVG4GBJKDQKJXQUEKQKTXGQ,486,1,475.0,286.5,668.5,800.5,1755.5,High
AENQPV63OVBZHJ7L7V37M2ADFY7Q,1308,1,14999.0,1087.0,668.5,86.0,1841.5,High
AENTXYVP4NNTWTHTYFRTOOY2MEAA,685,1,1399.0,518.5,668.5,507.5,1694.5,Medium
AENYOOBQJZGYT4GNQRR3YEKI7KAQ,332,1,2199.0,110.5,668.5,369.0,1148.0,Low
AEO5FHWNOSFBT554DKQAG4ICBGFQ,1293,1,12499.0,1078.0,668.5,112.0,1858.5,High
AEO5NTPVZBDP7EHO2NOJ3Q6QPN3A,279,1,209.0,59.0,668.5,991.5,1719.0,Medium
AEOFYPCJJQYCKISUR6EC66IZH23Q,431,1,13999.0,213.5,668.5,93.5,975.5,Low
AEOIHOJD3O5MYSVWZOBDUJGYWZGQ,657,1,1055.0,487.5,668.5,591.0,1747.0,High
AEOKB3ECJUM6UQOBFKMEMQVVHL4A,431,3,901.0,213.5,57.0,628.0,898.5,Low
AEOKQXQO42VI27RS7S6H6RDJTJWQ,886,1,799.0,735.5,668.5,659.0,2063.0,High
AEOKRUZ72RVUNHVMWHU5SFP2NXKA,877,1,649.0,721.5,668.5,716.0,2106.0,High
AEOM4KLP4SKKVSOCAMP7ORLGPGUA,1194,1,1149.0,996.5,668.5,572.0,2237.0,VIP
AEOVR6JEQTAC77BXE5AJMWJGG5PA,243,2,7179.0,10.0,162.0,172.0,344.0,Low
AEP4CW3UI7AJ7XM7PAAKVCB6U3ZA,656,1,99.0,486.0,668.5,1082.0,2236.5,VIP
